state,ageGroup,year,age,cohort,numpop
14,From 0 to 4 years,2000,0,2000,9826.424694233488
14,From 0 to 4 years,2000,1,1999,9728.484856325185
14,From 0 to 4 years,2000,2,1998,9622.621325558157
14,From 0 to 4 years,2000,3,1997,9500.347037167414
14,From 0 to 4 years,2000,4,1996,9366.122086715754
14,From 0 to 4 years,2001,0,2001,9924.913462009556
14,From 0 to 4 years,2001,1,2000,9841.358161200116
14,From 0 to 4 years,2001,2,1999,9754.02651810476
14,From 0 to 4 years,2001,3,1998,9655.327909542044
14,From 0 to 4 years,2001,4,1997,9540.373949143519
14,From 0 to 4 years,2002,0,2002,9888.451562662935
14,From 0 to 4 years,2002,1,2001,9812.643439001262
14,From 0 to 4 years,2002,2,2000,9744.134192883577
14,From 0 to 4 years,2002,3,1999,9670.700753254798
14,From 0 to 4 years,2002,4,1998,9590.070052197427
14,From 0 to 4 years,2003,0,2003,9814.733731984405
14,From 0 to 4 years,2003,1,2002,9743.761887872026
14,From 0 to 4 years,2003,2,2001,9693.461177920513
14,From 0 to 4 years,2003,3,2000,9652.183851341946
14,From 0 to 4 years,2003,4,1999,9606.859350881117
14,From 0 to 4 years,2004,0,2004,9827.737916886448
14,From 0 to 4 years,2004,1,2003,9757.507015014087
14,From 0 to 4 years,2004,2,2002,9722.74515126066
14,From 0 to 4 years,2004,3,2001,9710.020660017028
14,From 0 to 4 years,2004,4,2000,9702.989256821775
14,From 0 to 4 years,2005,0,2005,9789.028934228512
14,From 0 to 4 years,2005,1,2004,9718.127904911024
14,From 0 to 4 years,2005,2,2003,9695.07898742499
14,From 0 to 4 years,2005,3,2002,9706.656798832464
14,From 0 to 4 years,2005,4,2001,9734.10737460301
14,From 0 to 4 years,2006,0,2006,9751.252825212758
14,From 0 to 4 years,2006,1,2005,9679.748951619342
14,From 0 to 4 years,2006,2,2004,9662.82035169605
14,From 0 to 4 years,2006,3,2003,9689.975593405312
14,From 0 to 4 years,2006,4,2002,9742.202278066537
14,From 0 to 4 years,2007,0,2007,9858.628057477446
14,From 0 to 4 years,2007,1,2006,9788.950183183459
14,From 0 to 4 years,2007,2,2005,9768.9536051008
14,From 0 to 4 years,2007,3,2004,9802.468769998091
14,From 0 to 4 years,2007,4,2003,9867.999384240207
14,From 0 to 4 years,2008,0,2008,10012.056834503093
14,From 0 to 4 years,2008,1,2007,9933.428142344475
14,From 0 to 4 years,2008,2,2006,9914.811573084757
14,From 0 to 4 years,2008,3,2005,9946.588540332375
14,From 0 to 4 years,2008,4,2004,10011.114909735299
14,From 0 to 4 years,2009,0,2009,10095.408488722685
14,From 0 to 4 years,2009,1,2008,10011.54271054133
14,From 0 to 4 years,2009,2,2007,9984.937460173292
14,From 0 to 4 years,2009,3,2006,10004.001963150984
