state,year,age,numpop
35,2000,0,667236
35,2000,1,669603
35,2000,2,671448
35,2000,3,671944
35,2000,4,671613
35,2001,0,662412
35,2001,1,665679
35,2001,2,668784
35,2001,3,670911
35,2001,4,671548
35,2002,0,650501
35,2002,1,653941
35,2002,2,658213
35,2002,3,661980
35,2002,4,664903
35,2003,0,635398
35,2003,1,638729
35,2003,2,644090
35,2003,3,650197
35,2003,4,655552
35,2004,0,621978
35,2004,1,624830
35,2004,2,631107
35,2004,3,639240
35,2004,4,647523
35,2005,0,612234
35,2005,1,614406
35,2005,2,621171
35,2005,3,631020
35,2005,4,641875
35,2006,0,601716
35,2006,1,603107
35,2006,2,609656
35,2006,3,620211
35,2006,4,632654
35,2007,0,595698
35,2007,1,596558
35,2007,2,601891
35,2007,3,612176
35,2007,4,625303
35,2008,0,593556
35,2008,1,592832
35,2008,2,597325
35,2008,3,606457
35,2008,4,618732
35,2009,0,593066
35,2009,1,591201
35,2009,2,593953
35,2009,3,600828
35,2009,4,610814
35,2000,5,652382
35,2000,6,648403
35,2000,7,643903
35,2000,8,640476
35,2000,9,639714
35,2001,5,657036
35,2001,6,653082
35,2001,7,647996
35,2001,8,643521
35,2001,9,641600
35,2002,5,663589
35,2002,6,661012
35,2002,7,656491
35,2002,8,651715
35,2002,9,648755
35,2003,5,669151
35,2003,6,669282
35,2003,7,666618
35,2003,8,662486
35,2003,9,658843
35,2004,5,669519
35,2004,6,673496
35,2004,7,673774
35,2004,8,671207
35,2004,9,667495
35,2005,5,663516
35,2005,6,671010
35,2005,7,674647
35,2005,8,674432
35,2005,9,671553
35,2006,5,654935
35,2006,6,665860
35,2006,7,672774
35,2006,8,675371
35,2006,9,674305
35,2007,5,640756
35,2007,6,653207
35,2007,7,662562
35,2007,8,668002
35,2007,9,669575
35,2008,5,625156
35,2008,6,637824
35,2008,7,648531
35,2008,8,656484
35,2008,9,661141
35,2009,5,612882
35,2009,6,624385
35,2009,7,635159
35,2009,8,645131
35,2009,9,652809
35,2000,10,667858
35,2000,11,675486
35,2000,12,687091
35,2000,13,701465
35,2000,14,716883
35,2001,10,657070
35,2001,11,664100
35,2001,12,675637
35,2001,13,690598
35,2001,14,707337
35,2002,10,648264
35,2002,11,653488
35,2002,12,663092
35,2002,13,676584
35,2002,14,692723
35,2003,10,642887
35,2003,11,645718
35,2003,12,651700
35,2003,13,662009
35,2003,14,675745
35,2004,10,642897
35,2004,11,642357
35,2004,12,644900
35,2004,13,651259
35,2004,14,661448
35,2005,10,648439
35,2005,11,645420
35,2005,12,644509
35,2005,13,646815
35,2005,14,653002
35,2006,10,656585
35,2006,11,652459
35,2006,12,649140
35,2006,13,648064
35,2006,14,650484
35,2007,10,665568
35,2007,11,662049
35,2007,12,658069
35,2007,13,654977
35,2007,14,654561
35,2008,10,672353
35,2008,11,671118
35,2008,12,668259
35,2008,13,665126
35,2008,14,663334
35,2009,10,672913
35,2009,11,675222
35,2009,12,675212
35,2009,13,673818
35,2009,14,672288
35,2000,15,718912
35,2000,16,732505
35,2000,17,742023
35,2000,18,746618
35,2000,19,746120
35,2001,15,715075
35,2001,16,730129
35,2001,17,741645
35,2001,18,748307
35,2001,19,749724
35,2002,15,708099
35,2002,16,724252
35,2002,17,737727
35,2002,18,747152
35,2002,19,751808
35,2003,15,698931
35,2003,16,715364
35,2003,17,730615
35,2003,18,743216
35,2003,19,752066
35,2004,15,688858
35,2004,16,704585
35,2004,17,721022
35,2004,18,736630
35,2004,19,749890
35,2005,15,679170
35,2005,16,693176
35,2005,17,709788
35,2005,18,727564
35,2005,19,744498
35,2006,15,670635
35,2006,16,682059
35,2006,17,697554
35,2006,18,715856
35,2006,19,735080
35,2007,15,663017
35,2007,16,671359
35,2007,17,684526
35,2007,18,701647
35,2007,19,721037
35,2008,15,657767
35,2008,16,663031
35,2008,17,673077
35,2008,18,687535
35,2008,19,705008
35,2009,15,657120
35,2009,16,659754
35,2009,17,666381
35,2009,18,677463
35,2009,19,691313
35,2000,20,739910
35,2000,21,730953
35,2000,22,719284
35,2000,23,706039
35,2000,24,692253
35,2001,20,751208
35,2001,21,743402
35,2001,22,732408
35,2001,23,719379
35,2001,24,705415
35,2002,20,758104
35,2002,21,753344
35,2002,22,744774
35,2002,23,733378
35,2002,24,720227
35,2003,20,760373
35,2003,21,760173
35,2003,22,755476
35,2003,23,746927
35,2003,24,735544
35,2004,20,758151
35,2004,21,763277
35,2004,22,763329
35,2004,23,758312
