state,Year,Age,hospitalization,numcase
13,2000,10,nonhosp,1
13,2000,22,nonhosp,1
13,2000,24,nonhosp,2
13,2000,31,nonhosp,1
13,2000,39,nonhosp,1
13,2000,41,nonhosp,1
13,2000,62,nonhosp,1
13,2001,2,nonhosp,1
13,2001,3,nonhosp,1
13,2001,4,nonhosp,1
13,2001,7,nonhosp,1
13,2001,9,nonhosp,1
13,2001,10,nonhosp,1
13,2001,14,nonhosp,1
13,2001,15,nonhosp,1
13,2001,17,hosp,1
13,2001,17,nonhosp,1
13,2001,18,nonhosp,1
13,2001,20,nonhosp,1
13,2001,21,nonhosp,1
13,2001,22,nonhosp,2
13,2001,24,nonhosp,2
13,2001,26,nonhosp,1
13,2001,27,nonhosp,1
13,2001,28,nonhosp,1
13,2001,29,nonhosp,2
13,2001,30,nonhosp,1
13,2001,32,nonhosp,1
13,2001,33,nonhosp,2
13,2001,34,nonhosp,1
13,2001,35,nonhosp,1
13,2001,36,nonhosp,1
13,2001,38,nonhosp,1
13,2001,41,nonhosp,1
13,2001,42,nonhosp,1
13,2001,49,nonhosp,1
13,2001,66,nonhosp,1
13,2002,2,nonhosp,5
13,2002,3,nonhosp,8
13,2002,4,hosp,1
13,2002,4,nonhosp,7
13,2002,5,nonhosp,11
13,2002,6,nonhosp,10
13,2002,7,hosp,1
13,2002,7,nonhosp,10
13,2002,8,hosp,2
13,2002,8,nonhosp,5
13,2002,9,hosp,1
13,2002,9,nonhosp,11
13,2002,10,nonhosp,8
13,2002,11,hosp,1
13,2002,11,nonhosp,7
13,2002,12,hosp,1
13,2002,12,nonhosp,16
13,2002,13,nonhosp,10
13,2002,14,hosp,1
13,2002,14,nonhosp,15
13,2002,15,hosp,1
13,2002,15,nonhosp,8
13,2002,16,hosp,2
13,2002,16,nonhosp,14
13,2002,17,hosp,1
13,2002,17,nonhosp,13
13,2002,18,hosp,1
13,2002,18,nonhosp,14
13,2002,19,hosp,1
13,2002,19,nonhosp,18
13,2002,20,nonhosp,17
13,2002,21,nonhosp,18
13,2002,22,nonhosp,12
13,2002,23,hosp,1
13,2002,23,nonhosp,19
13,2002,24,hosp,3
13,2002,24,nonhosp,18
13,2002,25,nonhosp,17
13,2002,26,nonhosp,25
13,2002,27,nonhosp,11
13,2002,28,nonhosp,13
13,2002,29,nonhosp,12
13,2002,30,nonhosp,14
13,2002,31,hosp,1
13,2002,31,nonhosp,9
13,2002,32,nonhosp,9
13,2002,33,hosp,1
13,2002,33,nonhosp,10
13,2002,34,nonhosp,11
13,2002,35,nonhosp,13
13,2002,36,hosp,2
13,2002,36,nonhosp,11
13,2002,37,nonhosp,6
13,2002,38,hosp,2
13,2002,38,nonhosp,16
13,2002,39,nonhosp,14
13,2002,40,hosp,2
13,2002,40,nonhosp,14
13,2002,41,hosp,1
13,2002,41,nonhosp,7
13,2002,42,nonhosp,7
13,2002,43,hosp,1
13,2002,43,nonhosp,10
13,2002,44,nonhosp,8
13,2002,45,nonhosp,4
13,2002,46,nonhosp,5
13,2002,47,hosp,1
13,2002,47,nonhosp,6
13,2002,48,nonhosp,1
13,2002,49,nonhosp,8
13,2002,50,hosp,3
13,2002,50,nonhosp,5
13,2002,51,nonhosp,6
13,2002,52,hosp,1
13,2002,52,nonhosp,4
13,2002,53,hosp,1
13,2002,53,nonhosp,4
13,2002,54,nonhosp,4
13,2002,55,nonhosp,5
13,2002,56,nonhosp,3
13,2002,57,nonhosp,2
13,2002,58,hosp,1
13,2002,58,nonhosp,6
13,2002,59,nonhosp,3
13,2002,60,nonhosp,5
13,2002,61,hosp,1
13,2002,62,hosp,1
13,2002,62,nonhosp,2
13,2002,63,hosp,2
13,2002,63,nonhosp,1
13,2002,64,hosp,1
13,2002,64,nonhosp,2
13,2002,65,hosp,1
13,2002,65,nonhosp,2
13,2002,67,nonhosp,2
13,2002,68,nonhosp,3
