state,Year,Age,severe,numcase
27,2000,2,Mild,6
27,2000,3,Mild,10
27,2000,4,Mild,6
27,2000,4,Severe,1
27,2000,5,Mild,16
27,2000,6,Mild,5
27,2000,7,Mild,14
27,2000,8,Mild,7
27,2000,9,Mild,12
27,2000,10,Mild,17
27,2000,11,Mild,17
27,2000,12,Mild,16
27,2000,13,Mild,13
27,2000,14,Mild,10
27,2000,15,Mild,18
27,2000,16,Mild,19
27,2000,17,Mild,32
27,2000,18,Mild,17
27,2000,19,Mild,21
27,2000,20,Mild,17
27,2000,21,Mild,19
27,2000,21,Severe,1
27,2000,22,Mild,15
27,2000,23,Mild,17
27,2000,24,Mild,12
27,2000,25,Mild,20
27,2000,25,Severe,1
27,2000,26,Mild,10
27,2000,27,Mild,26
27,2000,28,Mild,22
27,2000,29,Mild,15
27,2000,30,Mild,20
27,2000,31,Mild,16
27,2000,32,Mild,14
27,2000,32,Severe,1
27,2000,33,Mild,16
27,2000,34,Mild,22
27,2000,35,Mild,13
27,2000,36,Mild,14
27,2000,37,Mild,15
27,2000,38,Mild,13
27,2000,39,Mild,15
27,2000,40,Mild,12
27,2000,41,Mild,13
27,2000,42,Mild,10
27,2000,43,Mild,6
27,2000,44,Mild,9
27,2000,45,Mild,6
27,2000,46,Mild,5
27,2000,47,Mild,7
27,2000,48,Mild,8
27,2000,49,Mild,6
27,2000,50,Mild,7
27,2000,51,Mild,3
27,2000,52,Mild,5
27,2000,53,Mild,1
27,2000,54,Mild,5
27,2000,55,Mild,6
27,2000,56,Mild,6
27,2000,57,Mild,7
27,2000,57,Severe,1
27,2000,58,Mild,5
27,2000,59,Mild,9
27,2000,60,Mild,3
27,2000,61,Mild,5
27,2000,62,Mild,3
27,2000,63,Mild,3
27,2000,64,Mild,3
27,2000,65,Mild,3
27,2000,66,Mild,4
27,2000,67,Mild,4
27,2000,68,Mild,3
27,2000,69,Mild,3
27,2000,70,Mild,2
27,2000,72,Mild,1
27,2000,73,Mild,1
27,2000,74,Mild,2
27,2000,77,Mild,1
27,2000,78,Mild,1
27,2000,80,Mild,1
27,2000,82,Mild,2
27,2000,87,Mild,1
27,2000,91,Mild,1
27,2001,2,Mild,20
27,2001,3,Mild,21
27,2001,4,Mild,16
27,2001,5,Mild,24
27,2001,6,Mild,10
27,2001,7,Mild,20
27,2001,7,Severe,1
27,2001,8,Mild,17
27,2001,9,Mild,13
27,2001,10,Mild,19
27,2001,10,Severe,2
27,2001,11,Mild,22
27,2001,12,Mild,14
27,2001,13,Mild,16
27,2001,14,Mild,36
27,2001,15,Mild,35
27,2001,16,Mild,36
27,2001,17,Mild,37
27,2001,18,Mild,29
27,2001,19,Mild,27
27,2001,19,Severe,1
27,2001,20,Mild,37
27,2001,20,Severe,1
27,2001,21,Mild,23
27,2001,22,Mild,33
27,2001,23,Mild,51
27,2001,24,Mild,43
27,2001,25,Mild,31
27,2001,26,Mild,46
27,2001,27,Mild,40
27,2001,28,Mild,43
27,2001,28,Severe,1
27,2001,29,Mild,30
27,2001,30,Mild,30
27,2001,31,Mild,36
27,2001,32,Mild,39
27,2001,33,Mild,25
27,2001,34,Mild,28
27,2001,35,Mild,31
27,2001,36,Mild,29
27,2001,37,Mild,28
27,2001,38,Mild,29
27,2001,39,Mild,22
27,2001,39,Severe,1
27,2001,40,Mild,26
27,2001,41,Mild,24
27,2001,42,Mild,23
27,2001,43,Mild,21
27,2001,44,Mild,22
27,2001,45,Mild,26
27,2001,46,Mild,21
27,2001,47,Mild,25
27,2001,48,Mild,16
27,2001,49,Mild,21
27,2001,50,Mild,16
27,2001,51,Mild,17
27,2001,52,Mild,16
27,2001,53,Mild,26
27,2001,54,Mild,19
27,2001,55,Mild,13
27,2001,56,Mild,16
27,2001,57,Mild,19
27,2001,58,Mild,12
27,2001,59,Mild,15
27,2001,60,Mild,15
27,2001,61,Mild,9
27,2001,62,Mild,7
27,2001,63,Mild,13
27,2001,64,Mild,9
27,2001,65,Mild,15
27,2001,66,Mild,13
27,2001,67,Mild,10
27,2001,68,Mild,5
27,2001,69,Mild,6
27,2001,70,Mild,6
27,2001,71,Mild,2
27,2001,72,Mild,6
27,2001,73,Mild,8
27,2001,74,Mild,5
27,2001,75,Mild,7
27,2001,76,Mild,8
27,2001,77,Mild,5
27,2001,78,Mild,3
27,2001,80,Mild,3
27,2001,81,Mild,2
27,2001,82,Mild,1
27,2001,83,Mild,3
27,2001,84,Mild,2
27,2001,87,Mild,1
27,2001,88,Mild,2
27,2001,89,Mild,1
27,2001,90,Mild,1
27,2001,91,Mild,2
27,2001,92,Mild,1
27,2002,2,Mild,49
27,2002,3,Mild,33
27,2002,3,Severe,1
27,2002,4,Mild,51
27,2002,5,Mild,49
27,2002,6,Mild,64
