state,Year,Age,severe,numcase
21,2000,1,Mild,1
21,2000,2,Mild,13
21,2000,3,Mild,23
21,2000,4,Mild,21
21,2000,5,Mild,24
21,2000,6,Mild,26
21,2000,7,Mild,31
21,2000,8,Mild,30
21,2000,9,Mild,42
21,2000,10,Mild,50
21,2000,11,Mild,58
21,2000,12,Mild,69
21,2000,13,Mild,57
21,2000,14,Mild,76
21,2000,15,Mild,90
21,2000,16,Mild,96
21,2000,17,Mild,99
21,2000,18,Mild,98
21,2000,19,Mild,87
21,2000,20,Mild,105
21,2000,21,Mild,109
21,2000,22,Mild,91
21,2000,23,Mild,105
21,2000,24,Mild,91
21,2000,25,Mild,76
21,2000,26,Mild,64
21,2000,27,Mild,80
21,2000,28,Mild,84
21,2000,29,Mild,93
21,2000,30,Mild,72
21,2000,31,Mild,76
21,2000,32,Mild,64
21,2000,33,Mild,65
21,2000,34,Mild,80
21,2000,35,Mild,55
21,2000,36,Mild,80
21,2000,37,Mild,76
21,2000,37,Severe,1
21,2000,38,Mild,52
21,2000,39,Mild,48
21,2000,40,Mild,43
21,2000,40,Severe,1
21,2000,41,Mild,46
21,2000,42,Mild,50
21,2000,43,Mild,52
21,2000,44,Mild,40
21,2000,45,Mild,43
21,2000,46,Mild,51
21,2000,47,Mild,43
21,2000,48,Mild,36
21,2000,49,Mild,42
21,2000,50,Mild,40
21,2000,51,Mild,28
21,2000,52,Mild,29
21,2000,53,Mild,23
21,2000,54,Mild,34
21,2000,55,Mild,25
21,2000,56,Mild,39
21,2000,57,Mild,35
21,2000,58,Mild,19
21,2000,59,Mild,25
21,2000,60,Mild,26
21,2000,61,Mild,10
21,2000,62,Mild,23
21,2000,63,Mild,27
21,2000,64,Mild,27
21,2000,65,Mild,16
21,2000,66,Mild,18
21,2000,67,Mild,20
21,2000,68,Mild,13
21,2000,69,Mild,12
21,2000,70,Mild,13
21,2000,71,Mild,12
21,2000,72,Mild,17
21,2000,73,Mild,9
21,2000,74,Mild,14
21,2000,75,Mild,5
21,2000,76,Mild,11
21,2000,77,Mild,5
21,2000,78,Mild,6
21,2000,79,Mild,4
21,2000,80,Mild,3
21,2000,81,Mild,3
21,2000,82,Mild,4
21,2000,84,Mild,2
21,2000,86,Mild,3
21,2000,87,Mild,2
21,2000,88,Mild,1
21,2000,90,Mild,1
21,2000,95,Mild,1
21,2001,2,Mild,35
21,2001,3,Mild,40
21,2001,4,Mild,46
21,2001,5,Mild,58
21,2001,6,Mild,62
21,2001,7,Mild,62
21,2001,8,Mild,71
21,2001,9,Mild,80
21,2001,10,Mild,83
21,2001,11,Mild,108
21,2001,12,Mild,118
21,2001,13,Mild,150
21,2001,14,Mild,136
21,2001,14,Severe,1
21,2001,15,Mild,162
21,2001,16,Mild,164
21,2001,17,Mild,159
21,2001,18,Mild,155
21,2001,18,Severe,1
21,2001,19,Mild,168
21,2001,20,Mild,154
21,2001,21,Mild,132
21,2001,21,Severe,1
21,2001,22,Mild,130
21,2001,23,Mild,128
21,2001,24,Mild,123
21,2001,25,Mild,132
21,2001,26,Mild,129
21,2001,27,Mild,95
21,2001,28,Mild,122
21,2001,29,Mild,136
21,2001,30,Mild,112
21,2001,31,Mild,105
21,2001,31,Severe,2
21,2001,32,Mild,101
21,2001,33,Mild,105
21,2001,34,Mild,96
21,2001,35,Mild,108
21,2001,36,Mild,108
21,2001,37,Mild,125
21,2001,37,Severe,1
21,2001,38,Mild,102
21,2001,39,Mild,82
21,2001,40,Mild,91
