state,year_not,ncase,pop,meanmaternalage,meanpopage,ir,statecode,infantcases,infantpop,infantir,irr,infantcases_0month,infantbirths_1month,infantcases_1month,infantbirths_2month,infantcases_2month,infantbirths_3month,infantcases_3month,infantbirths_4month,infantcases_4month,infantbirths_5month,infantcases_5month,infantbirths_6month,infantcases_6month,infantbirths_7month,infantcases_7month,infantbirths_8month,infantcases_8month,infantbirths_9month,infantcases_9month,infantbirths_10month,infantcases_10month,infantbirths_11month,infantcases_11month,infantbirths_12month,infantcases_2weeks,infantcases_2to4weeks,nsevere,severe_ir,meanage,region,infantseverecases,infantseverecases_0month,infantseverecases_1month,infantseverecases_2month,infantseverecases_3month,infantseverecases_4month,infantseverecases_5month,infantseverecases_6month,infantseverecases_7month,infantseverecases_8month,infantseverecases_9month,infantseverecases_10month,infantseverecases_11month,infantseverecases_2weeks,infantseverecases_2to4weeks,infantcases_5to9,pop_5to9,ncase_noage,nsevcase_noage,meaninfantcaseage,meaninfantsevcaseage,propinfcasegt1,propinfsevcasegt4,mean5to9caseage,mean1to5caseage,mean1to5sevcaseage,mean6pluscaseage,cases1to5,agediff,logir,loginfantir,loginfantsevir,proppos,ncaseunder18,nseverecaseunder18,mode6pluscaseage
11,2000,2792,1408967,22.94823212,24.90238522,198.1593607,RO,8,31307,25.55339062,0.12895374,0,2458,0,2424,0,2644,0,2605,1,2778,0,2611,1,2696,1,2666,1,2691,2,2800,1,2480,1,2454,0,0,38,2.697011357,32.14971347,North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,164490,0,0,240,NA,1,NA,2130.865922,1034.166667,NA,33.01881225,73,7.24732825,5.289071559,3.240770013,#NAME?,0.874412778,568,2,22
11,2001,1664,1432731,23.0348411,25.20028952,116.1418298,RO,9,28236,31.87420314,0.274442061,0,2432,0,2259,0,2448,0,2302,0,2437,1,2075,0,2292,1,2438,4,2358,1,2537,1,2474,1,2184,0,0,2,0.139593545,31.86778846,North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,163087,0,0,246.6666667,NA,1,NA,2164.385965,944.7058824,NA,32.84782609,45,6.66749894,4.754812115,3.461797004,#NAME?,0.998201439,378,NA,27
11,2002,1232,1454641,23.21398597,25.52935948,84.69443663,RO,11,29236,37.62484608,0.444242238,1,2435,0,2219,1,2567,2,2563,1,2570,2,2430,2,2474,1,2410,1,2466,0,2482,0,2367,0,2253,1,0,15,1.031182264,31.05275974,North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,161949,0,0,134.2727273,NA,0.909090909,NA,2014.94898,942.9166667,NA,32.43744681,46,5.52340026,4.439049916,3.627664632,#NAME?,0.819499341,310,5,25
11,2003,2966,1474909,23.29369477,25.88229511,201.0971524,RO,16,28809,55.53819987,0.276175964,4,2216,0,2013,2,2510,1,2581,0,2503,1,2449,0,2406,2,2426,2,2518,0,2446,3,2321,1,2420,2,2,31,2.101824587,31.21645314,North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,161009,0,0,159.6875,NA,0.75,NA,2100.245902,894.25,NA,32.18403625,81,5.33415803,5.303788137,4.01707107,#NAME?,0.980547313,666,3,20
11,2004,3012,1494459,23.39266669,26.24516564,201.5445054,RO,18,28927,62.22560238,0.30874373,6,2384,1,2257,2,2511,1,2504,0,2668,2,2509,3,2434,1,2421,0,2379,0,2249,0,2384,2,2227,5,1,19,1.271363082,32.98074369,North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,160161,0,0,111.7777778,NA,0.611111111,NA,2044.462025,1011.754386,1460,33.93664384,74,6.73557805,5.306010227,4.130766529,#NAME?,0.950504414,641,5,22
11,2005,4609,1513634,23.54823818,26.61027104,304.498974,RO,19,28081,67.66140807,0.222205701,3,2210,0,2340,1,2668,1,2444,0,2628,2,2459,4,2198,1,2428,2,2411,2,2240,1,2085,2,1970,2,1,65,4.294301,31.85267954,North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,159336,0,0,178.6842105,NA,0.842105263,NA,2148.092593,944.4375,912.5,32.70873353,113,5.2424085,5.718667718,4.214515974,#NAME?,0.766423358,1028,13,20
11,2006,3063,1532206,23.70130391,26.98644569,199.9078453,RO,21,24925,84.25275827,0.421457988,8,2001,1,1900,0,2282,0,2041,1,2313,2,2104,3,2066,4,1984,0,2054,1,2061,1,2020,0,2099,4,4,48,3.132738026,32.90401567,North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,159827,0,0,120.3333333,NA,0.571428571,NA,2142.485207,1028.636364,1277.5,33.80504202,67,5.91756998,5.297856487,4.433821308,#NAME?,0.69251578,694,6,18
11,2007,3004,1549700,23.9138111,27.3737575,193.8439698,RO,29,22996,126.1088885,0.650569056,5,2294,2,2102,2,2343,1,2016,7,2092,1,1933,3,1836,2,1790,0,1610,4,1631,1,1602,1,1747,5,0,15,0.967929277,31.57723036,North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,158652,7,0,136.9655172,NA,0.75862069,NA,2119.212121,947.7192982,NA,32.56105951,68,4.20347286,5.267053556,4.837145728,#NAME?,0.571474053,696,NA,22
11,2008,5825,1566536,24.0685678,27.76631817,371.8395236,RO,48,26791,179.1646448,0.481833246,13,2222,2,2066,6,2435,3,2323,4,2228,2,2149,5,2219,1,2338,7,2260,2,2241,1,2077,2,2233,8,5,55,3.510931124,31.97390558,North,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,304,156138,13,0,123.5,90,0.6875,0,2098.75,952.421875,NA,33.20554562,187,4.20758741,5.918462373,5.188305187,1.317104176,0.699444351,1407,12,25
11,2009,17538,1582820,24.17233447,28.16331547,1108.02239,RO,211,26083,808.956025,0.730089962,42,2305,7,2141,13,2426,12,2379,17,2248,19,2096,21,2083,22,2165,15,2233,13,2105,16,1900,14,2002,27,15,312,19.71165388,30.90135705,North,10,0,0,2,0,2,0,0,1,3,1,0,1,0,0,964,153283,60,0,153.2417062,189,0.767772512,0.6,1977.498376,952.8086957,1095,32.55774801,755,2.73804158,7.010332075,6.695744558,3.646471518,0.757073222,4616,91,28
11,2010,21611,1602760,24.35339656,28.72235893,1348.361576,RO,260,25835,1006.386685,0.746377457,33,2059,8,1863,19,2317,20,2266,12,2316,17,2150,28,2221,21,2101,25,2120,25,2159,23,2097,29,2166,15,18,432,26.9535052,30.12345565,North,8,1,0,0,2,0,0,1,2,0,1,1,0,1,0,1273,150565,60,0,178.2692308,170.125,0.842307692,0.625,1936.269803,929.6234568,1260.909091,31.90655633,1050,1.40109672,7.206645487,6.914121655,3.432881566,0.840052966,6067,107,18
