variable,2.5%,25%,50%,75%,97.5%,rhat,ess_bulk,ess_tail,cohort,age,year,S
"S0[100,1]",0.993588,0.994716,0.995269,0.99576725,0.9967231000000001,1.0006578635338403,5175.478044202895,4795.560291811457,2000,0,2000,S0
"S0[101,1]",0.9067685750000001,0.9233669999999999,0.931035,0.938408,0.952000125,1.0005156563023978,5155.101700072275,4918.625046534428,2001,0,2001,S0
"S0[102,1]",0.951635325,0.96113725,0.9656564999999999,0.969935,0.9774653000000001,0.9999925467553387,5783.104555531063,5511.436350621623,2002,0,2002,S0
"S0[103,1]",0.967236875,0.9737589999999999,0.9768195,0.97975225,0.984890075,0.9999102304394067,5833.854622068482,5629.473646112974,2003,0,2003,S0
"S0[104,1]",0.961511675,0.96908625,0.9726954999999999,0.97594225,0.98169312500000006,0.9991114687802032,5572.94340842394,5634.8424534291025,2004,0,2004,S0
"S0[105,1]",0.9371843,0.949587,0.9550675,0.96035625,0.9697095000000001,0.9996265320908732,5558.584917853071,5351.774278525354,2005,0,2005,S0
"S0[106,1]",0.9482228500000001,0.95644,0.9602565,0.9635255,0.9692042999999999,0.9996292089741506,5200.605149763719,5334.74967361507,2006,0,2006,S0
"S0[107,1]",0.920176,0.93226375,0.937879,0.9429365000000001,0.95172655,0.9998646804912514,5237.874331106682,5181.149084008475,2007,0,2007,S0
"S0[108,1]",0.997789,0.999008,0.999367,0.9996,0.99985605,1.0002858635551402,5507.262549901477,5635.582059806281,2008,0,2008,S0
"S0[109,1]",0.9234297749999999,0.9439967499999999,0.953001,0.9618837499999999,0.9771409750000001,1.000728812172778,5375.345456324338,5592.5569311934405,2009,0,2009,S0
"S0[110,1]",0.8425819499999999,0.87537825,0.8883945,0.8998582500000001,0.9186761999999999,1.0001951812837087,5019.211107474248,5387.010922839812,2010,0,2010,S0
"S0[111,1]",0.829455,0.86796075,0.882645,0.89545275,0.9158258,1.0004555434616205,5106.30841135983,5389.383469494464,2011,0,2011,S0
"S0[112,1]",0.944144,0.94890825,0.9513695,0.9543882499999999,0.96343725,1.0005704232759123,5460.162231282909,5339.034135177965,2012,0,2012,S0
"S0[113,1]",0.663241425,0.69012225,0.7044600000000001,0.722447,0.7789987249999999,1.0002536676799367,5388.495926469939,5414.365412569872,2013,0,2013,S0
"S0[114,1]",0.676626425,0.705733,0.727934,0.771622,0.8692376249999997,1.0001292308519294,6007.9369348632345,5717.650092499786,2014,0,2014,S0
"S0[99,2]",0.897224425,0.919946,0.9317195,0.94300725,0.9631101999999999,1.0008968821197548,5192.5641127620165,5351.056966904843,1999,1,2000,S0
"S0[100,2]",0.9009402750000001,0.91850025,0.926593,0.934412,0.9488859000000001,1.000526874803343,5157.947508757234,4989.5271770447325,2000,1,2001,S0
"S0[101,2]",0.8762101,0.8917137500000001,0.8990115000000001,0.90570175,0.9183891,1.0004563314076402,5016.816283575825,5329.039037879159,2001,1,2002,S0
"S0[102,2]",0.9205319000000001,0.935958,0.9433005,0.95023725,0.962605125,0.999967900503451,5805.659350514826,5510.540167726007,2002,1,2003,S0
"S0[103,2]",0.9378644249999999,0.946043,0.949859,0.953508,0.96008425,0.9999014522664711,5529.518302107597,5541.129914417773,2003,1,2004,S0
"S0[104,2]",0.90189095,0.92041525,0.9287715000000001,0.936986,0.951641525,0.9992565593159283,5583.666513706521,5472.958904916305,2004,1,2005,S0
"S0[105,2]",0.8974473000000001,0.9106427500000001,0.916822,0.92243025,0.932090175,1.000966133165411,5247.509407081784,5430.062671211255,2005,1,2006,S0
"S0[106,2]",0.87258795,0.89168225,0.9006305,0.9085495,0.9222638750000001,0.9997776750980701,5214.464792422139,5178.022926439674,2006,1,2007,S0
"S0[107,2]",0.919462175,0.931408,0.93712,0.942259,0.951090175,0.999861021017138,5238.981102640005,5078.852688006037,2007,1,2008,S0
"S0[108,2]",0.9224349749999999,0.94317475,0.952324,0.9613365,0.976716575,1.000627284066678,5386.691036617143,5642.8553768492775,2008,1,2009,S0
"S0[109,2]",0.802309725,0.8329465,0.8453735,0.85780575,0.87837275,0.9995875804601463,5257.50348166958,5598.869560258014,2009,1,2010,S0
