.chain,.iteration,.draw,iRow,val,year
1,1,1,1,0.1278412,1901
1,1,1,2,0.1278412,1902
1,1,1,3,0.1278412,1903
1,1,1,4,0.1278412,1904
1,1,1,5,0.1278412,1905
1,1,1,6,0.1278412,1906
1,1,1,7,0.1278412,1907
1,1,1,8,0.1278412,1908
1,1,1,9,0.1278412,1909
1,1,1,10,0.1278412,1910
1,1,1,11,0.0671413,1911
1,1,1,12,0.0671413,1912
1,1,1,13,0.0671413,1913
1,1,1,14,0.0671413,1914
1,1,1,15,0.0671413,1915
1,1,1,16,0.0671413,1916
1,1,1,17,0.0671413,1917
1,1,1,18,0.0671413,1918
1,1,1,19,0.0671413,1919
1,1,1,20,0.0671413,1920
1,1,1,21,0.028639067,1921
1,1,1,22,0.028639067,1922
1,1,1,23,0.028639067,1923
1,1,1,24,0.028639067,1924
1,1,1,25,0.028639067,1925
1,1,1,26,0.028639067,1926
1,1,1,27,0.028639067,1927
1,1,1,28,0.028639067,1928
1,1,1,29,0.028639067,1929
1,1,1,30,0.028639067,1930
1,1,1,31,0.047112488,1931
1,1,1,32,0.047112488,1932
1,1,1,33,0.047112488,1933
1,1,1,34,0.047112488,1934
1,1,1,35,0.047112488,1935
1,1,1,36,0.047112488,1936
1,1,1,37,0.047112488,1937
1,1,1,38,0.047112488,1938
1,1,1,39,0.047112488,1939
1,1,1,40,0.047112488,1940
1,1,1,41,0.06548022,1941
1,1,1,42,0.06548022,1942
1,1,1,43,0.06548022,1943
1,1,1,44,0.06548022,1944
1,1,1,45,0.06548022,1945
1,1,1,46,0.06548022,1946
1,1,1,47,0.06548022,1947
1,1,1,48,0.06548022,1948
1,1,1,49,0.06548022,1949
1,1,1,50,0.06548022,1950
1,1,1,51,0.04721089,1951
1,1,1,52,0.04721089,1952
1,1,1,53,0.04721089,1953
1,1,1,54,0.04721089,1954
1,1,1,55,0.04721089,1955
1,1,1,56,0.04721089,1956
1,1,1,57,0.04721089,1957
1,1,1,58,0.04721089,1958
1,1,1,59,0.04721089,1959
1,1,1,60,0.04721089,1960
1,1,1,61,0.047343028,1961
1,1,1,62,0.047343028,1962
1,1,1,63,0.047343028,1963
1,1,1,64,0.047343028,1964
1,1,1,65,0.047343028,1965
1,1,1,66,0.047343028,1966
1,1,1,67,0.047343028,1967
1,1,1,68,0.047343028,1968
1,1,1,69,0.047343028,1969
1,1,1,70,0.047343028,1970
1,1,1,71,0.041678097000000004,1971
1,1,1,72,0.041678097000000004,1972
1,1,1,73,0.041678097000000004,1973
1,1,1,74,0.041678097000000004,1974
1,1,1,75,0.041678097000000004,1975
1,1,1,76,0.041678097000000004,1976
1,1,1,77,0.041678097000000004,1977
1,1,1,78,0.041678097000000004,1978
1,1,1,79,0.041678097000000004,1979
1,1,1,80,0.041678097000000004,1980
1,1,1,81,0.07767215000000001,1981
1,1,1,82,0.07767215000000001,1982
1,1,1,83,0.07767215000000001,1983
1,1,1,84,0.07767215000000001,1984
1,1,1,85,0.0475071739,1985
1,1,1,86,0.0475071739,1986
1,1,1,87,0.0475071739,1987
1,1,1,88,0.0475071739,1988
1,1,1,89,0.0475071739,1989
1,1,1,90,0.019629999000000002,1990
1,1,1,91,0.019629999000000002,1991
1,1,1,92,0.019629999000000002,1992
1,1,1,93,0.019629999000000002,1993
1,1,1,94,0.019629999000000002,1994
1,1,1,95,0.010683782,1995
1,1,1,96,0.012233520999999999,1996
1,1,1,97,0.0012170032,1997
1,1,1,98,0.00509662156,1998
1,1,1,99,0.005870121,1999
1,1,1,100,0.0165208669,2000
1,1,1,101,0.017298279899999998,2001
1,1,1,102,0.068165686,2002
1,1,1,103,0.071614954,2003
1,1,1,104,0.046973207,2004
1,1,1,105,0.08683313000000001,2005
1,1,1,106,0.11661496,2006
1,1,1,107,0.09828944,2007
1,1,1,108,0.09498749000000001,2008
1,1,1,109,0.005180665930000001,2009
1,1,1,110,0.02879302112,2010
1,1,1,111,0.1305643,2011
1,1,1,112,0.08055865,2012
1,1,1,113,0.009696996,2013
1,1,1,114,0.1575084,2014
1,2,2,1,0.0967829,1901
1,2,2,2,0.0967829,1902
1,2,2,3,0.0967829,1903
1,2,2,4,0.0967829,1904
1,2,2,5,0.0967829,1905
1,2,2,6,0.0967829,1906
1,2,2,7,0.0967829,1907
