variable,2.5%,25%,50%,75%,97.5%,rhat,ess_bulk,ess_tail,year,iType
"lambda_tk[1,1]",1.99345725e-4,0.0195075,0.06448845,0.10580824999999999,0.14218725,1.000427282188104,5461.956764478809,5117.164042519036,1901,1
"lambda_tk[2,1]",1.99345725e-4,0.0195075,0.06448845,0.10580824999999999,0.14218725,1.000427282188104,5461.956764478809,5117.164042519036,1902,1
"lambda_tk[3,1]",1.99345725e-4,0.0195075,0.06448845,0.10580824999999999,0.14218725,1.000427282188104,5461.956764478809,5117.164042519036,1903,1
"lambda_tk[4,1]",1.99345725e-4,0.0195075,0.06448845,0.10580824999999999,0.14218725,1.000427282188104,5461.956764478809,5117.164042519036,1904,1
"lambda_tk[5,1]",1.99345725e-4,0.0195075,0.06448845,0.10580824999999999,0.14218725,1.000427282188104,5461.956764478809,5117.164042519036,1905,1
"lambda_tk[6,1]",1.99345725e-4,0.0195075,0.06448845,0.10580824999999999,0.14218725,1.000427282188104,5461.956764478809,5117.164042519036,1906,1
"lambda_tk[7,1]",1.99345725e-4,0.0195075,0.06448845,0.10580824999999999,0.14218725,1.000427282188104,5461.956764478809,5117.164042519036,1907,1
"lambda_tk[8,1]",1.99345725e-4,0.0195075,0.06448845,0.10580824999999999,0.14218725,1.000427282188104,5461.956764478809,5117.164042519036,1908,1
"lambda_tk[9,1]",1.99345725e-4,0.0195075,0.06448845,0.10580824999999999,0.14218725,1.000427282188104,5461.956764478809,5117.164042519036,1909,1
"lambda_tk[10,1]",1.99345725e-4,0.0195075,0.06448845,0.10580824999999999,0.14218725,1.000427282188104,5461.956764478809,5117.164042519036,1910,1
"lambda_tk[11,1]",1.0303057499999999e-4,0.010734925000000001,0.0440283,0.0934652,0.13662247499999997,1.0016344712929002,5346.953510604294,5219.273605202483,1911,1
"lambda_tk[12,1]",1.0303057499999999e-4,0.010734925000000001,0.0440283,0.0934652,0.13662247499999997,1.0016344712929002,5346.953510604294,5219.273605202483,1912,1
"lambda_tk[13,1]",1.0303057499999999e-4,0.010734925000000001,0.0440283,0.0934652,0.13662247499999997,1.0016344712929002,5346.953510604294,5219.273605202483,1913,1
"lambda_tk[14,1]",1.0303057499999999e-4,0.010734925000000001,0.0440283,0.0934652,0.13662247499999997,1.0016344712929002,5346.953510604294,5219.273605202483,1914,1
"lambda_tk[15,1]",1.0303057499999999e-4,0.010734925000000001,0.0440283,0.0934652,0.13662247499999997,1.0016344712929002,5346.953510604294,5219.273605202483,1915,1
"lambda_tk[16,1]",1.0303057499999999e-4,0.010734925000000001,0.0440283,0.0934652,0.13662247499999997,1.0016344712929002,5346.953510604294,5219.273605202483,1916,1
"lambda_tk[17,1]",1.0303057499999999e-4,0.010734925000000001,0.0440283,0.0934652,0.13662247499999997,1.0016344712929002,5346.953510604294,5219.273605202483,1917,1
"lambda_tk[18,1]",1.0303057499999999e-4,0.010734925000000001,0.0440283,0.0934652,0.13662247499999997,1.0016344712929002,5346.953510604294,5219.273605202483,1918,1
"lambda_tk[19,1]",1.0303057499999999e-4,0.010734925000000001,0.0440283,0.0934652,0.13662247499999997,1.0016344712929002,5346.953510604294,5219.273605202483,1919,1
"lambda_tk[20,1]",1.0303057499999999e-4,0.010734925000000001,0.0440283,0.0934652,0.13662247499999997,1.0016344712929002,5346.953510604294,5219.273605202483,1920,1
"lambda_tk[21,1]",7.7972415e-6,8.81063e-4,0.003952880000000001,0.012946025,0.09414524999999996,1.0042490587357527,4501.170239308284,3979.0748244640927,1921,1
"lambda_tk[22,1]",7.7972415e-6,8.81063e-4,0.003952880000000001,0.012946025,0.09414524999999996,1.0042490587357527,4501.170239308284,3979.0748244640927,1922,1
"lambda_tk[23,1]",7.7972415e-6,8.81063e-4,0.003952880000000001,0.012946025,0.09414524999999996,1.0042490587357527,4501.170239308284,3979.0748244640927,1923,1
"lambda_tk[24,1]",7.7972415e-6,8.81063e-4,0.003952880000000001,0.012946025,0.09414524999999996,1.0042490587357527,4501.170239308284,3979.0748244640927,1924,1
"lambda_tk[25,1]",7.7972415e-6,8.81063e-4,0.003952880000000001,0.012946025,0.09414524999999996,1.0042490587357527,4501.170239308284,3979.0748244640927,1925,1
"lambda_tk[26,1]",7.7972415e-6,8.81063e-4,0.003952880000000001,0.012946025,0.09414524999999996,1.0042490587357527,4501.170239308284,3979.0748244640927,1926,1
"lambda_tk[27,1]",7.7972415e-6,8.81063e-4,0.003952880000000001,0.012946025,0.09414524999999996,1.0042490587357527,4501.170239308284,3979.0748244640927,1927,1
"lambda_tk[28,1]",7.7972415e-6,8.81063e-4,0.003952880000000001,0.012946025,0.09414524999999996,1.0042490587357527,4501.170239308284,3979.0748244640927,1928,1
"lambda_tk[29,1]",7.7972415e-6,8.81063e-4,0.003952880000000001,0.012946025,0.09414524999999996,1.0042490587357527,4501.170239308284,3979.0748244640927,1929,1
"lambda_tk[30,1]",7.7972415e-6,8.81063e-4,0.003952880000000001,0.012946025,0.09414524999999996,1.0042490587357527,4501.170239308284,3979.0748244640927,1930,1
"lambda_tk[31,1]",6.911501999999997e-6,8.1305725e-4,0.0041173,0.013097425,0.08732201999999993,1.006649728595332,2946.256426287693,3598.680613834084,1931,1
"lambda_tk[32,1]",6.911501999999997e-6,8.1305725e-4,0.0041173,0.013097425,0.08732201999999993,1.006649728595332,2946.256426287693,3598.680613834084,1932,1
"lambda_tk[33,1]",6.911501999999997e-6,8.1305725e-4,0.0041173,0.013097425,0.08732201999999993,1.006649728595332,2946.256426287693,3598.680613834084,1933,1
"lambda_tk[34,1]",6.911501999999997e-6,8.1305725e-4,0.0041173,0.013097425,0.08732201999999993,1.006649728595332,2946.256426287693,3598.680613834084,1934,1
"lambda_tk[35,1]",6.911501999999997e-6,8.1305725e-4,0.0041173,0.013097425,0.08732201999999993,1.006649728595332,2946.256426287693,3598.680613834084,1935,1
"lambda_tk[36,1]",6.911501999999997e-6,8.1305725e-4,0.0041173,0.013097425,0.08732201999999993,1.006649728595332,2946.256426287693,3598.680613834084,1936,1
"lambda_tk[37,1]",6.911501999999997e-6,8.1305725e-4,0.0041173,0.013097425,0.08732201999999993,1.006649728595332,2946.256426287693,3598.680613834084,1937,1
"lambda_tk[38,1]",6.911501999999997e-6,8.1305725e-4,0.0041173,0.013097425,0.08732201999999993,1.006649728595332,2946.256426287693,3598.680613834084,1938,1
"lambda_tk[39,1]",6.911501999999997e-6,8.1305725e-4,0.0041173,0.013097425,0.08732201999999993,1.006649728595332,2946.256426287693,3598.680613834084,1939,1
"lambda_tk[40,1]",6.911501999999997e-6,8.1305725e-4,0.0041173,0.013097425,0.08732201999999993,1.006649728595332,2946.256426287693,3598.680613834084,1940,1
"lambda_tk[41,1]",2.0858029999999995e-5,0.0016362400000000002,0.007000555,0.01809175,0.089063245,1.0011911803958056,4034.9784500932396,3683.9699899093034,1941,1
"lambda_tk[42,1]",2.0858029999999995e-5,0.0016362400000000002,0.007000555,0.01809175,0.089063245,1.0011911803958056,4034.9784500932396,3683.9699899093034,1942,1
"lambda_tk[43,1]",2.0858029999999995e-5,0.0016362400000000002,0.007000555,0.01809175,0.089063245,1.0011911803958056,4034.9784500932396,3683.9699899093034,1943,1
"lambda_tk[44,1]",2.0858029999999995e-5,0.0016362400000000002,0.007000555,0.01809175,0.089063245,1.0011911803958056,4034.9784500932396,3683.9699899093034,1944,1
"lambda_tk[45,1]",2.0858029999999995e-5,0.0016362400000000002,0.007000555,0.01809175,0.089063245,1.0011911803958056,4034.9784500932396,3683.9699899093034,1945,1
"lambda_tk[46,1]",2.0858029999999995e-5,0.0016362400000000002,0.007000555,0.01809175,0.089063245,1.0011911803958056,4034.9784500932396,3683.9699899093034,1946,1
"lambda_tk[47,1]",2.0858029999999995e-5,0.0016362400000000002,0.007000555,0.01809175,0.089063245,1.0011911803958056,4034.9784500932396,3683.9699899093034,1947,1
"lambda_tk[48,1]",2.0858029999999995e-5,0.0016362400000000002,0.007000555,0.01809175,0.089063245,1.0011911803958056,4034.9784500932396,3683.9699899093034,1948,1
"lambda_tk[49,1]",2.0858029999999995e-5,0.0016362400000000002,0.007000555,0.01809175,0.089063245,1.0011911803958056,4034.9784500932396,3683.9699899093034,1949,1
"lambda_tk[50,1]",2.0858029999999995e-5,0.0016362400000000002,0.007000555,0.01809175,0.089063245,1.0011911803958056,4034.9784500932396,3683.9699899093034,1950,1
"lambda_tk[51,1]",9.052587e-6,6.7836225e-4,0.003020015,0.009249009999999998,0.037277994999999876,1.0179827987681416,688.2159457064471,2592.189094166188,1951,1
"lambda_tk[52,1]",9.052587e-6,6.7836225e-4,0.003020015,0.009249009999999998,0.037277994999999876,1.0179827987681416,688.2159457064471,2592.189094166188,1952,1
"lambda_tk[53,1]",9.052587e-6,6.7836225e-4,0.003020015,0.009249009999999998,0.037277994999999876,1.0179827987681416,688.2159457064471,2592.189094166188,1953,1
"lambda_tk[54,1]",9.052587e-6,6.7836225e-4,0.003020015,0.009249009999999998,0.037277994999999876,1.0179827987681416,688.2159457064471,2592.189094166188,1954,1
"lambda_tk[55,1]",9.052587e-6,6.7836225e-4,0.003020015,0.009249009999999998,0.037277994999999876,1.0179827987681416,688.2159457064471,2592.189094166188,1955,1
"lambda_tk[56,1]",9.052587e-6,6.7836225e-4,0.003020015,0.009249009999999998,0.037277994999999876,1.0179827987681416,688.2159457064471,2592.189094166188,1956,1
"lambda_tk[57,1]",9.052587e-6,6.7836225e-4,0.003020015,0.009249009999999998,0.037277994999999876,1.0179827987681416,688.2159457064471,2592.189094166188,1957,1
"lambda_tk[58,1]",9.052587e-6,6.7836225e-4,0.003020015,0.009249009999999998,0.037277994999999876,1.0179827987681416,688.2159457064471,2592.189094166188,1958,1
"lambda_tk[59,1]",9.052587e-6,6.7836225e-4,0.003020015,0.009249009999999998,0.037277994999999876,1.0179827987681416,688.2159457064471,2592.189094166188,1959,1
"lambda_tk[60,1]",9.052587e-6,6.7836225e-4,0.003020015,0.009249009999999998,0.037277994999999876,1.0179827987681416,688.2159457064471,2592.189094166188,1960,1
"lambda_tk[61,1]",5.011675e-6,4.785265e-4,0.0022890899999999997,0.0084675025,0.035991189999999985,1.04676304360349,177.0044612451755,600.7639660650482,1961,1
"lambda_tk[62,1]",5.011675e-6,4.785265e-4,0.0022890899999999997,0.0084675025,0.035991189999999985,1.04676304360349,177.0044612451755,600.7639660650482,1962,1
"lambda_tk[63,1]",5.011675e-6,4.785265e-4,0.0022890899999999997,0.0084675025,0.035991189999999985,1.04676304360349,177.0044612451755,600.7639660650482,1963,1
"lambda_tk[64,1]",5.011675e-6,4.785265e-4,0.0022890899999999997,0.0084675025,0.035991189999999985,1.04676304360349,177.0044612451755,600.7639660650482,1964,1
"lambda_tk[65,1]",5.011675e-6,4.785265e-4,0.0022890899999999997,0.0084675025,0.035991189999999985,1.04676304360349,177.0044612451755,600.7639660650482,1965,1
"lambda_tk[66,1]",5.011675e-6,4.785265e-4,0.0022890899999999997,0.0084675025,0.035991189999999985,1.04676304360349,177.0044612451755,600.7639660650482,1966,1
"lambda_tk[67,1]",5.011675e-6,4.785265e-4,0.0022890899999999997,0.0084675025,0.035991189999999985,1.04676304360349,177.0044612451755,600.7639660650482,1967,1
"lambda_tk[68,1]",5.011675e-6,4.785265e-4,0.0022890899999999997,0.0084675025,0.035991189999999985,1.04676304360349,177.0044612451755,600.7639660650482,1968,1
"lambda_tk[69,1]",5.011675e-6,4.785265e-4,0.0022890899999999997,0.0084675025,0.035991189999999985,1.04676304360349,177.0044612451755,600.7639660650482,1969,1
"lambda_tk[70,1]",5.011675e-6,4.785265e-4,0.0022890899999999997,0.0084675025,0.035991189999999985,1.04676304360349,177.0044612451755,600.7639660650482,1970,1
"lambda_tk[71,1]",6.166755e-6,5.57931e-4,0.0041315250000000005,0.01970525,0.052629907499999955,1.0308053066708882,310.5175150798707,2023.2758020227047,1971,1
"lambda_tk[72,1]",6.166755e-6,5.57931e-4,0.0041315250000000005,0.01970525,0.052629907499999955,1.0308053066708882,310.5175150798707,2023.2758020227047,1972,1
"lambda_tk[73,1]",6.166755e-6,5.57931e-4,0.0041315250000000005,0.01970525,0.052629907499999955,1.0308053066708882,310.5175150798707,2023.2758020227047,1973,1
"lambda_tk[74,1]",6.166755e-6,5.57931e-4,0.0041315250000000005,0.01970525,0.052629907499999955,1.0308053066708882,310.5175150798707,2023.2758020227047,1974,1
"lambda_tk[75,1]",6.166755e-6,5.57931e-4,0.0041315250000000005,0.01970525,0.052629907499999955,1.0308053066708882,310.5175150798707,2023.2758020227047,1975,1
"lambda_tk[76,1]",6.166755e-6,5.57931e-4,0.0041315250000000005,0.01970525,0.052629907499999955,1.0308053066708882,310.5175150798707,2023.2758020227047,1976,1
"lambda_tk[77,1]",6.166755e-6,5.57931e-4,0.0041315250000000005,0.01970525,0.052629907499999955,1.0308053066708882,310.5175150798707,2023.2758020227047,1977,1
"lambda_tk[78,1]",6.166755e-6,5.57931e-4,0.0041315250000000005,0.01970525,0.052629907499999955,1.0308053066708882,310.5175150798707,2023.2758020227047,1978,1
"lambda_tk[79,1]",6.166755e-6,5.57931e-4,0.0041315250000000005,0.01970525,0.052629907499999955,1.0308053066708882,310.5175150798707,2023.2758020227047,1979,1
"lambda_tk[80,1]",6.166755e-6,5.57931e-4,0.0041315250000000005,0.01970525,0.052629907499999955,1.0308053066708882,310.5175150798707,2023.2758020227047,1980,1
"lambda_tk[81,1]",1.1046517499999998e-5,0.00164415,0.0127647,0.061292975,0.11722164999999998,1.0379504687856949,241.64633805402752,2939.114628260448,1981,1
"lambda_tk[82,1]",1.1046517499999998e-5,0.00164415,0.0127647,0.061292975,0.11722164999999998,1.0379504687856949,241.64633805402752,2939.114628260448,1982,1
"lambda_tk[83,1]",1.1046517499999998e-5,0.00164415,0.0127647,0.061292975,0.11722164999999998,1.0379504687856949,241.64633805402752,2939.114628260448,1983,1
"lambda_tk[84,1]",1.1046517499999998e-5,0.00164415,0.0127647,0.061292975,0.11722164999999998,1.0379504687856949,241.64633805402752,2939.114628260448,1984,1
"lambda_tk[85,1]",5.933360749999999e-6,7.9679525e-4,0.0043542649999999995,0.1000045,0.14134804999999992,1.1906044999088845,46.13379077454341,320.3558677956943,1985,1
"lambda_tk[86,1]",5.933360749999999e-6,7.9679525e-4,0.0043542649999999995,0.1000045,0.14134804999999992,1.1906044999088845,46.13379077454341,320.3558677956943,1986,1
"lambda_tk[87,1]",5.933360749999999e-6,7.9679525e-4,0.0043542649999999995,0.1000045,0.14134804999999992,1.1906044999088845,46.13379077454341,320.3558677956943,1987,1
"lambda_tk[88,1]",5.933360749999999e-6,7.9679525e-4,0.0043542649999999995,0.1000045,0.14134804999999992,1.1906044999088845,46.13379077454341,320.3558677956943,1988,1
"lambda_tk[89,1]",5.933360749999999e-6,7.9679525e-4,0.0043542649999999995,0.1000045,0.14134804999999992,1.1906044999088845,46.13379077454341,320.3558677956943,1989,1
"lambda_tk[90,1]",2.08114525e-5,0.0020927750000000003,0.012205,0.11039475,0.14889917499999997,1.172126682108375,48.498798758309704,348.53004976576364,1990,1
"lambda_tk[91,1]",2.08114525e-5,0.0020927750000000003,0.012205,0.11039475,0.14889917499999997,1.172126682108375,48.498798758309704,348.53004976576364,1991,1
"lambda_tk[92,1]",2.08114525e-5,0.0020927750000000003,0.012205,0.11039475,0.14889917499999997,1.172126682108375,48.498798758309704,348.53004976576364,1992,1
"lambda_tk[93,1]",2.08114525e-5,0.0020927750000000003,0.012205,0.11039475,0.14889917499999997,1.172126682108375,48.498798758309704,348.53004976576364,1993,1
"lambda_tk[94,1]",2.08114525e-5,0.0020927750000000003,0.012205,0.11039475,0.14889917499999997,1.172126682108375,48.498798758309704,348.53004976576364,1994,1
"lambda_tk[95,1]",7.835622500000002e-5,0.010797425,0.0510477,0.1069955,0.14475102499999998,1.099365761647325,78.63402194037818,1874.1384901161807,1995,1
"lambda_tk[96,1]",1.1637124999999999e-4,0.0099463375,0.047668249999999995,0.10215674999999999,0.1417385,1.0729320225623131,108.96184267223514,3347.2426561454536,1996,1
"lambda_tk[97,1]",6.7308365e-5,0.007876657499999998,0.03757725,0.095706375,0.13918414999999998,1.0633579516364924,119.02788509510916,3927.8031822815974,1997,1
"lambda_tk[98,1]",7.457174499999998e-5,0.0060610675000000004,0.0280924,0.079374875,0.13488219999999998,1.0265470610890393,362.36186740515365,4463.81344711074,1998,1
"lambda_tk[99,1]",7.26522575e-5,0.0074403625000000004,0.03587095,0.0918384,0.13894417499999995,1.0660447194006972,115.95035686986749,3225.2236109394826,1999,1
"lambda_tk[100,1]",5.793405749999999e-6,7.0179375e-4,0.003868995,0.027918925,0.08209986499999998,1.0199432718685246,713.4567560872977,2711.5000804531537,2000,1
"lambda_tk[101,1]",4.0350117499999996e-5,0.0043820675,0.022227499999999997,0.09247362499999999,0.13831734999999995,1.0489220058601456,183.46536550920035,2396.073452507139,2001,1
