variable,2.5%,50%,97.5%,rhat,ess_bulk,ess_tail,param
"lambda[1,1]",0.0506418125,0.0652283,0.0860140425,1.0009608264302592,4119.42201219344,4434.175244502814,lambda
binned_phi_a[1],0.59167595,0.8884,0.995931325,1.002688193786712,3660.1241496281896,1681.178234233293,binned_phi_a
binned_phi_a[2],0.508760125,0.687818,0.803140025,1.0024468325886982,4125.770078848589,4618.945762690348,binned_phi_a
binned_phi_a[3],0.57543455,0.692169,0.793012625,1.0010486837061188,4675.007690667388,5187.120231671089,binned_phi_a
binned_phi_a[4],0.6762856249999999,0.824469,0.9452897249999999,1.0034865945868194,3951.970408060883,1648.7023829224815,binned_phi_a
binned_phi_a[5],0.739213125,0.8856615,0.98581825,1.0019357027515952,4203.5345641888,5004.950854785419,binned_phi_a
binned_phi_a[6],0.820591675,0.9583105000000001,0.998324125,1.0001964850447747,5325.411528504604,5279.052104573702,binned_phi_a
binned_phi_a[7],0.7262638250000001,0.8776655,0.984815275,1.0012804867567884,5347.635056281112,5279.2487224405095,binned_phi_a
binned_phi_a[8],0.645466875,0.8164484999999999,0.9762049500000001,1.0014457104928502,5524.144398849206,5427.889540270647,binned_phi_a
p_clinical_rel[1],0.00819894575,0.0317379,0.06164782249999997,1.002053259027635,4347.048667171973,4249.9452408749985,p_clinical_rel
p_clinical_rel[2],0.15422475,0.25576,0.43695402499999964,1.0026204942313532,4083.7262162319907,4225.7111263054785,p_clinical_rel
p_clinical_rel[3],5.798096999999993e-81,1.07816e-11,0.045172754999999704,1.006146491897631,1527.1272939101384,659.4759618056027,p_clinical_rel
p_clinical_rel[4],0.0123475075,0.287012,0.8286301249999999,1.0004973327532616,4952.013823137452,5427.835841388299,p_clinical_rel
binned_phi_t[1],0.0397434525,0.12218899999999999,0.33144999999999997,1.0008807592095246,4563.238314749304,5109.454079730475,binned_phi_t
binned_phi_t[2],0.0844721275,0.170984,0.35170592499999986,1.0043441101801205,2933.829118870727,1430.427609620064,binned_phi_t
binned_phi_t[3],0.01289596,0.02688165,0.0621786849999999,1.002665232641162,3709.760488086831,5155.067544000987,binned_phi_t
binned_phi_t[4],0.0195328375,0.03495405,0.06348596749999998,1.0011334717699087,4489.5051746371955,4854.710236028383,binned_phi_t
binned_phi_t[5],0.17373607500000002,0.314134,0.5155619749999999,1.0029723569033113,2677.13643444486,1032.0498290071125,binned_phi_t
binned_phi_t[6],0.0706076925,0.133222,0.24587030000000001,1.0025590716588448,4152.223963477607,5332.883676341216,binned_phi_t
binned_phi_t[7],0.06458203250000001,0.1236865,0.23680664999999998,1.0014239170531798,4806.504491012774,4731.437415675162,binned_phi_t
binned_phi_t[8],0.021050980000000004,0.041460449999999996,0.09651581249999983,1.0013446039736094,4977.219453807632,5449.387787935687,binned_phi_t
psi_inv,0.0131677625,0.01940315,0.0271407375,1.0027114061029225,4848.620791043464,1670.2835745795155,psi_inv
p_clinical[1],0.00190909425,0.007893134999999999,0.02000192,1.0018055748046155,4487.227550680689,4071.421819342876,p_clinical
p_clinical[2],0.15422475,0.25576,0.43695402499999964,1.0026204942313532,4083.7262162319907,4225.7111263054785,p_clinical
p_clinical[3],1.4824029999999994e-81,2.6513649999999998e-12,0.011773222499999878,1.005814589344297,1612.4706715135546,658.9655372850008,p_clinical
p_clinical[4],4.4311772499999967e-82,6.26295e-13,0.0023417834999999976,1.0044132870985691,2127.1254485439376,706.6625621905158,p_clinical
