"IBGE_code","Municipality","Municipality_ascii","State_iso","State","Region","State_ascii"
110001,"Alta Floresta D'Oeste","Alta Floresta D'Oeste","RO","Rondônia","North","Rondonia"
110002,"Ariquemes","Ariquemes","RO","Rondônia","North","Rondonia"
110003,"Cabixi","Cabixi","RO","Rondônia","North","Rondonia"
110004,"Cacoal","Cacoal","RO","Rondônia","North","Rondonia"
110005,"Cerejeiras","Cerejeiras","RO","Rondônia","North","Rondonia"
110006,"Colorado do Oeste","Colorado do Oeste","RO","Rondônia","North","Rondonia"
110007,"Corumbiara","Corumbiara","RO","Rondônia","North","Rondonia"
110008,"Costa Marques","Costa Marques","RO","Rondônia","North","Rondonia"
110009,"Espigão D'Oeste","Espigao D'Oeste","RO","Rondônia","North","Rondonia"
110010,"Guajará-Mirim","Guajara-Mirim","RO","Rondônia","North","Rondonia"
110011,"Jaru","Jaru","RO","Rondônia","North","Rondonia"
110012,"Ji-Paraná","Ji-Parana","RO","Rondônia","North","Rondonia"
110013,"Machadinho D'Oeste","Machadinho D'Oeste","RO","Rondônia","North","Rondonia"
110014,"Nova Brasilândia D'Oeste","Nova Brasilandia D'Oeste","RO","Rondônia","North","Rondonia"
110015,"Ouro Preto do Oeste","Ouro Preto do Oeste","RO","Rondônia","North","Rondonia"
110018,"Pimenta Bueno","Pimenta Bueno","RO","Rondônia","North","Rondonia"
110020,"Porto Velho","Porto Velho","RO","Rondônia","North","Rondonia"
110025,"Presidente Médici","Presidente Medici","RO","Rondônia","North","Rondonia"
110026,"Rio Crespo","Rio Crespo","RO","Rondônia","North","Rondonia"
110028,"Rolim de Moura","Rolim de Moura","RO","Rondônia","North","Rondonia"
110029,"Santa Luzia D'Oeste","Santa Luzia D'Oeste","RO","Rondônia","North","Rondonia"
110030,"Vilhena","Vilhena","RO","Rondônia","North","Rondonia"
110032,"São Miguel do Guaporé","Sao Miguel do Guapore","RO","Rondônia","North","Rondonia"
110033,"Nova Mamoré","Nova Mamore","RO","Rondônia","North","Rondonia"
110034,"Alvorada D'Oeste","Alvorada D'Oeste","RO","Rondônia","North","Rondonia"
110037,"Alto Alegre dos Parecis","Alto Alegre dos Parecis","RO","Rondônia","North","Rondonia"
110040,"Alto Paraíso","Alto Paraiso","RO","Rondônia","North","Rondonia"
110045,"Buritis","Buritis","RO","Rondônia","North","Rondonia"
110050,"Novo Horizonte do Oeste","Novo Horizonte do Oeste","RO","Rondônia","North","Rondonia"
110060,"Cacaulândia","Cacaulandia","RO","Rondônia","North","Rondonia"
110070,"Campo Novo de Rondônia","Campo Novo de Rondonia","RO","Rondônia","North","Rondonia"
110080,"Candeias do Jamari","Candeias do Jamari","RO","Rondônia","North","Rondonia"
110090,"Castanheiras","Castanheiras","RO","Rondônia","North","Rondonia"
110092,"Chupinguaia","Chupinguaia","RO","Rondônia","North","Rondonia"
